track_id,roi,event,frame,time,entry_time,duration
4,0,enter,1,0.04,,
12,0,enter,1,0.04,,
15,0,enter,1,0.04,,
24,0,enter,11,0.44,,
12,0,exit,11,0.44,0.04,0.4
25,0,enter,15,0.6,,
24,0,exit,15,0.6,0.44,0.16
25,0,exit,47,1.88,0.6,1.28
4,0,exit,57,2.28,0.04,2.24
48,0,enter,60,2.4,,
23,0,enter,95,3.8,,
27,0,enter,116,4.64,,
84,0,enter,116,4.64,,
23,0,exit,140,5.6,3.8,1.8
5,0,enter,142,5.68,,
87,0,enter,155,6.2,,
52,0,enter,161,6.44,,
128,0,enter,171,6.84,,
131,0,enter,181,7.24,,
122,0,enter,201,8.04,,
122,0,exit,211,8.44,8.04,0.4
122,0,enter,214,8.56,,
153,0,enter,215,8.6,,
122,0,exit,229,9.16,8.56,0.6
161,0,enter,229,9.16,,
122,0,enter,233,9.32,,
52,0,exit,240,9.6,6.44,3.16
139,0,enter,254,10.16,,
192,0,enter,277,11.08,,
122,0,exit,296,11.84,9.32,2.52
70,0,enter,306,12.24,,
209,0,enter,306,12.24,,
143,0,enter,312,12.48,,
192,0,exit,320,12.8,11.08,1.72
31,0,enter,366,14.64,,
268,0,enter,388,15.52,,
121,0,enter,392,15.68,,
70,0,exit,407,16.28,12.24,4.04
172,0,enter,423,16.92,,
143,0,exit,425,17.0,12.48,4.52
244,0,enter,432,17.28,,
268,0,exit,455,18.2,15.52,2.68
8,0,enter,461,18.44,,
267,0,enter,466,18.64,,
270,0,enter,476,19.04,,
319,0,enter,487,19.48,,
172,0,exit,497,19.88,16.92,2.96
244,0,exit,503,20.12,17.28,2.84
253,0,enter,515,20.6,,
279,0,enter,534,21.36,,
198,0,enter,537,21.48,,
373,0,enter,539,21.56,,
379,0,enter,550,22.0,,
